url,listing_id,brand,model,version,mileage,year,transmission,drivetrain,fuel_type,horsepower_cv,location,seller,price_rating,price,listing_date,car_condition,previous_owners,body_type,exterior_color,interior_color,upholstery,seats,doors,engine,power_ch,cylinder_capacity
https://www.automobile.tn/fr/occasion/bmw/serie-1-5p/119471,119471,Bmw,Serie 1 5P,1Pack M,110000,2020,Automatique,Traction,Essence,8,Bizerte,Individual,Bon prix,99500,03.12.2025,Très bon,1ère main,Compacte,Blanc,Autre,Alcantara,5,5,(F40) 5 portes09/2019 - Aujourd'hui,N/A,N/A
https://www.automobile.tn/fr/occasion/kia/picanto/121046,121046,Kia,Picanto,N/A,72500,2022,Manuelle,Traction,Essence,4,Tunis,Individual,Prix équitable,38000,03.12.2025,Très bon,1ère main,Citadine,Rouge,Noir,Tissu,5,5,(JA) Phase 207/2020 - Aujourd'hui,N/A,N/A
https://www.automobile.tn/fr/occasion/mercedes-benz/classe-c/121044,121044,Mercedes Benz,Classe C,CAMG,281000,2007,Manuelle,Propulsion,Essence,11,Sousse,Individual,Prix très élevé,48000,03.12.2025,Très bon,1ère main,Berline,Autre,Noir,Cuir intégral,5,5,(204) Berline01/2007 - 02/2011,N/A,N/A
https://www.automobile.tn/fr/occasion/mercedes-benz/classe-c-coupe/121043,121043,Mercedes Benz,Classe C Coupe,C coupéAMG,179000,2017,Automatique,Traction,Essence,8,Ariana,Individual,Prix élevé,135000,03.12.2025,Très bon,1ère main,Coupé,Blanc,Noir,Tissu,4,3,(205) Coupé09/2015 - 04/2021,N/A,N/A
https://www.automobile.tn/fr/occasion/mazda/3/121039,121039,Mazda,3,N/A,230000,2017,Manuelle,Traction,Essence,6,Kébili,Individual,Prix très élevé,47000,03.12.2025,Très bon,1ère main,Compacte,Gris Shark,Noir,Similicuir,5,5,III Hatchback07/2012 - 10/2016,N/A,N/A
https://www.automobile.tn/fr/occasion/dacia/dokker-van/121036,121036,Dacia,Dokker Van,Van,215000,2016,Manuelle,Traction,Diesel,6,Ariana,Individual,Prix équitable,26000,03.12.2025,Normal,1ère main,Utilitaire,Blanc,Noir,Tissu,2,4,Van09/2012 - Aujourd'hui,N/A,N/A
https://www.automobile.tn/fr/occasion/volkswagen/tiguan/120197,120197,Volkswagen,Tiguan,N/A,90700,2017,Automatique,Traction,Essence,8,Tunis,Individual,Très bon prix,85000,03.12.2025,Très bon,2ème main,SUV,Gris anthracite,Gris,Alcantara,5,5,II01/2016 - 07/2020,N/A,N/A
https://www.automobile.tn/fr/occasion/seat/ibiza/121033,121033,Seat,Ibiza,Plus,77000,2019,Manuelle,Traction,Essence,4,La Manouba,Individual,Prix équitable,54000,03.12.2025,Très bon,2ème main,Citadine,Gris anthracite,Gris,Tissu,5,5,V02/2017 - 06/2021,N/A,N/A
https://www.automobile.tn/fr/occasion/peugeot/2008/118019,118019,Peugeot,2008,N/A,126000,2020,Automatique,Traction,Essence,7,Sfax,Individual,Prix équitable,62000,03.12.2025,Très bon,1ère main,SUV,Gris Shark,Noir,Tissu,5,5,II (P24E) 5HB02/2020 - 08/2023,N/A,N/A
https://www.automobile.tn/fr/occasion/dacia/dokker-van/120515,120515,Dacia,Dokker Van,VanLux Tolée Plus,88000,2020,Manuelle,Traction,Diesel,6,Ariana,Individual,Bon prix,34000,03.12.2025,Très bon,1ère main,Utilitaire,Noir,Noir,Cuir partiel,2,4,Van09/2012 - Aujourd'hui,N/A,N/A
